iter	Passed	Remaining
551	10258	8325
552	10275	8305
553	10290	8284
554	10306	8263
555	10323	8243
556	10339	8223
557	10356	8203
558	10373	8183
559	10389	8163
560	10406	8143
561	10422	8123
562	10438	8102
563	10455	8082
564	10476	8065
565	10491	8045
566	10508	8024
567	10524	8004
568	10540	7983
569	10557	7964
570	10572	7943
571	10587	7921
572	10602	7900
573	10617	7879
574	10633	7859
575	10648	7838
576	10663	7817
577	10679	7797
578	10695	7776
579	10711	7756
580	10726	7735
581	10743	7716
582	10759	7696
583	10775	7675
584	10791	7655
585	10809	7636
586	10830	7620
587	10850	7602
588	10867	7583
589	10883	7563
590	10899	7543
591	10914	7522
592	10929	7501
593	10945	7481
594	10960	7460
595	10975	7439
596	10991	7419
597	11008	7400
598	11024	7380
599	11040	7360
600	11055	7339
601	11071	7319
602	11088	7300
603	11103	7279
604	11118	7259
605	11134	7239
606	11150	7219
607	11166	7199
608	11182	7179
609	11197	7159
610	11213	7138
611	11229	7119
612	11245	7099
613	11261	7079
614	11277	7059
615	11293	7040
616	11308	7019
617	11325	7000
618	11339	6979
619	11354	6959
620	11369	6938
621	11385	6918
622	11399	6898
623	11416	6878
624	11430	6858
625	11446	6838
626	11459	6817
627	11476	6797
628	11491	6778
629	11506	6757
630	11522	6738
631	11538	6718
632	11555	6699
633	11570	6679
634	11586	6659
635	11602	6640
636	11616	6619
637	11632	6600
638	11648	6580
639	11663	6560
640	11679	6541
641	11695	6521
642	11711	6502
643	11726	6482
644	11743	6463
645	11760	6444
646	11775	6424
647	11793	6406
648	11814	6389
649	11839	6375
650	11880	6368
651	11915	6359
652	11939	6344
653	11960	6327
654	11981	6310
655	12002	6294
656	12022	6276
657	12043	6259
658	12063	6242
659	12085	6225
660	12105	6208
661	12124	6190
662	12143	6172
663	12161	6153
664	12179	6135
665	12196	6116
666	12214	6098
667	12232	6079
668	12249	6060
669	12265	6041
670	12280	6021
671	12297	6002
672	12312	5982
673	12328	5963
674	12346	5944
675	12362	5925
676	12377	5905
677	12393	5885
678	12409	5866
679	12424	5846
680	12439	5826
681	12454	5807
682	12470	5787
683	12485	5768
684	12501	5748
685	12515	5728
686	12530	5709
687	12545	5689
688	12561	5670
689	12577	5650
690	12593	5631
691	12607	5611
692	12625	5593
693	12644	5575
694	12661	5556
695	12682	5539
696	12702	5521
697	12733	5509
698	12756	5493
699	12774	5474
700	12792	5456
701	12809	5437
702	12824	5418
703	12839	5398
704	12854	5379
705	12882	5364
706	12900	5346
707	12918	5328
708	12935	5309
709	12951	5290
710	12968	5271
711	12982	5251
712	12998	5232
713	13013	5212
714	13030	5193
715	13046	5174
716	13061	5155
717	13077	5136
718	13093	5117
719	13109	5098
720	13126	5079
721	13142	5060
722	13158	5041
723	13179	5024
724	13194	5004
725	13209	4985
726	13226	4966
727	13241	4947
728	13256	4927
729	13271	4908
730	13287	4889
731	13302	4870
732	13317	4851
733	13333	4832
734	13349	4813
735	13364	4793
736	13380	4774
737	13396	4755
738	13411	4736
739	13426	4717
740	13442	4698
741	13457	4679
742	13474	4660
743	13489	4641
744	13506	4622
745	13521	4603
746	13537	4584
747	13555	4566
748	13570	4547
749	13586	4528
750	13602	4510
751	13618	4491
752	13634	4472
753	13649	4453
754	13666	4434
755	13682	4416
756	13697	4396
757	13713	4378
758	13729	4359
759	13745	4340
760	13763	4322
761	13778	4303
762	13797	4285
763	13815	4267
764	13834	4249
765	13853	4232
766	13872	4214
767	13890	4196
768	13907	4177
769	13924	4159
770	13941	4140
771	13958	4122
772	13974	4103
773	13991	4085
774	14009	4067
775	14029	4049
776	14046	4031
777	14063	4012
778	14081	3994
779	14098	3976
780	14114	3957
781	14130	3939
782	14146	3920
783	14163	3902
784	14178	3883
785	14193	3864
786	14209	3845
787	14225	3827
788	14239	3808
789	14254	3789
790	14270	3770
791	14285	3751
792	14299	3732
793	14315	3714
794	14330	3695
795	14345	3676
796	14360	3657
797	14376	3639
798	14391	3620
799	14406	3601
800	14425	3583
801	14440	3565
802	14456	3546
803	14471	3527
804	14486	3509
805	14501	3490
806	14516	3471
807	14530	3452
808	14546	3434
809	14562	3415
810	14577	3397
811	14593	3378
812	14607	3359
813	14622	3341
814	14638	3322
815	14652	3304
816	14668	3285
817	14683	3266
818	14697	3248
819	14713	3229
820	14728	3211
821	14752	3194
822	14773	3177
823	14794	3160
824	14813	3142
825	14830	3124
826	14847	3105
827	14863	3087
828	14878	3069
829	14894	3050
830	14910	3032
831	14924	3013
832	14940	2995
833	14956	2976
834	14973	2958
835	14991	2940
836	15013	2923
837	15035	2906
838	15054	2888
839	15074	2871
840	15095	2853
841	15116	2836
842	15138	2819
843	15160	2802
844	15181	2784
845	15200	2766
846	15220	2749
847	15238	2731
848	15257	2713
849	15277	2695
850	15295	2677
851	15313	2660
852	15330	2641
853	15346	2623
854	15363	2605
855	15378	2587
856	15396	2569
857	15411	2550
858	15427	2532
859	15441	2513
860	15457	2495
861	15472	2477
862	15487	2458
863	15504	2440
864	15519	2422
865	15534	2403
866	15551	2385
867	15565	2367
868	15581	2348
869	15595	2330
870	15612	2312
871	15628	2294
872	15643	2275
873	15658	2257
874	15674	2239
875	15694	2221
876	15712	2203
877	15734	2186
878	15756	2169
879	15777	2151
880	15797	2133
881	15819	2116
882	15839	2098
883	15866	2082
884	15887	2064
885	15908	2046
886	15927	2029
887	15944	2011
888	15959	1992
889	15975	1974
890	15994	1956
891	16011	1938
892	16030	1920
893	16046	1902
894	16062	1884
895	16079	1866
896	16096	1848
897	16114	1830
898	16132	1812
899	16151	1794
900	16168	1776
901	16184	1758
902	16199	1740
903	16216	1722
904	16232	1704
905	16250	1686
906	16266	1667
907	16283	1649
908	16298	1631
909	16315	1613
910	16334	1595
911	16351	1577
912	16371	1560
913	16391	1542
914	16418	1525
915	16437	1507
916	16457	1489
917	16475	1471
918	16495	1453
919	16512	1435
920	16530	1417
921	16550	1400
922	16570	1382
923	16587	1364
924	16607	1346
925	16623	1328
926	16639	1310
927	16654	1292
928	16670	1274
929	16686	1255
930	16701	1237
931	16718	1219
932	16735	1201
933	16751	1183
934	16768	1165
935	16784	1147
936	16799	1129
937	16815	1111
938	16830	1093
939	16845	1075
940	16860	1057
941	16878	1039
942	16894	1021
943	16910	1003
944	16925	985
945	16942	967
946	16957	949
947	16973	931
948	16988	912
949	17004	894
950	17020	876
951	17035	858
952	17051	840
953	17066	822
954	17083	804
955	17099	787
956	17114	768
957	17130	751
958	17146	733
959	17162	715
960	17178	697
961	17194	679
962	17210	661
963	17230	643
964	17246	625
965	17262	607
966	17278	589
967	17295	571
968	17311	553
969	17327	535
970	17343	517
971	17359	500
972	17375	482
973	17390	464
974	17406	446
975	17421	428
976	17437	410
977	17452	392
978	17469	374
979	17485	356
980	17501	338
981	17517	321
982	17533	303
983	17551	285
984	17566	267
985	17583	249
986	17598	231
987	17615	213
988	17631	196
989	17646	178
990	17662	160
991	17677	142
992	17693	124
993	17709	106
994	17725	89
995	17742	71
996	17758	53
997	17774	35
998	17789	17
999	17806	0
